Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4754763,,None,439.54,0,3.74,Cpd J,CCC(=O)CCCCC[C@H](NC(=O)C1CN(C)C1)c1[nH]c(-c2ccc(F)cc2)nc1C#N,IC50,'=',117,nM,6.93,,,UO_0000065,15.77,0.3,3.19,6.8,0,CHEMBL4669387,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4665726,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,INHIBITOR,,117
CHEMBL4797194,,None,511.62,2,5.05,Cpd T,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1[nH]c(-c2ccc(F)cc2F)nc1C#N,IC50,'=',155,nM,6.81,,,UO_0000065,13.31,0.25,1.76,6.68,0,CHEMBL4669387,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4665726,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,INHIBITOR,,155
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',82,nM,7.09,,,UO_0000065,26.81,0.51,4.62,9.04,0,CHEMBL932445,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1144784,1,Scientific Literature,J Med Chem,2008,None,,,,82
CHEMBL406927,,None,495.02,1,5.95,18,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3nc4ccc(Cl)cc4[nH]3)c2c1,IC50,'=',880,nM,6.06,,,UO_0000065,12.23,0.24,0.11,6.06,0,CHEMBL932445,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1144784,1,Scientific Literature,J Med Chem,2008,None,,,,880
CHEMBL139192,,None,278.35,0,2.81,TWZ 104,O=CN(O)CCCCCCCC(=O)Nc1ccccc1,IC50,'=',7800,nM,5.11,,,UO_0000065,18.35,0.35,2.3,7.33,0,CHEMBL697297,Inhibition of Histone deacetylase 2 (HDAC2) activity of HeLa nuclear extracts,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137945,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,7.8
CHEMBL4647458,,None,497.64,1,5,12,CN1CCC(C(=O)N[C@@H](CCCCCC(=O)c2nccs2)c2ncc(-c3ccc(F)cc3)[nH]2)CC1,IC50,'=',24,nM,7.62,,,UO_0000065,15.31,0.3,2.62,8.38,0,CHEMBL4625802,Inhibition of full length human recombinant FLAG-tagged HDAC2 expressed in baculovirus infected Sf9 cells using FLUOR DE LYS as substrate preincubated for 3 hrs followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4622967,1,Scientific Literature,ACS Med Chem Lett,2020,CHEMBL3308860,,,,24
CHEMBL4639586,,None,433.51,0,4.76,19,COc1nc2ccccc2cc1-c1cnc([C@@H](N)CCCCCC(=O)c2cnoc2C)[nH]1,IC50,'=',1300,nM,5.89,,,UO_0000065,13.58,0.25,1.13,4.91,0,CHEMBL4625802,Inhibition of full length human recombinant FLAG-tagged HDAC2 expressed in baculovirus infected Sf9 cells using FLUOR DE LYS as substrate preincubated for 3 hrs followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4622967,1,Scientific Literature,ACS Med Chem Lett,2020,CHEMBL3308860,,,,1300
CHEMBL235191,TACEDINALINE,3,269.3,0,2.48,CI994,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,IC50,'=',1920,nM,5.72,,,UO_0000065,21.23,0.39,3.24,6.79,0,CHEMBL4394938,Inhibition of human recombinant His-tagged HDAC2 (1 to 582 residues) expressed in baculovirus infected insect cells using FLUOR DE LYS Green as substrate preincubated for 10 mins followed by substrate addition and measured after 30 mins by fluorescence method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4393680,1,Scientific Literature,Eur J Med Chem,2019,None,,,,1.92
CHEMBL253868,,None,452.51,1,5.01,2a,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,'=',72,nM,7.14,,,UO_0000065,15.78,0.29,2.13,6.72,0,CHEMBL927762,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1140803,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,,72
CHEMBL430060,APICIDIN,None,623.8,1,3.07,Apicidin,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,IC50,'=',1,nM,9,,,UO_0000065,14.43,0.27,5.93,6.48,0,CHEMBL1166310,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1165952,1,Scientific Literature,Bioorg Med Chem,2010,None,,,,1
CHEMBL407420,,None,419.48,0,3.24,1b,Nc1ccccc1NC(=O)c1ccc(CN(CCO)Cc2ccc3c(c2)OCO3)cc1,IC50,'=',3360,nM,5.47,,,UO_0000065,13.05,0.24,2.23,5.64,0,CHEMBL1959441,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1955769,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,3.36
CHEMBL3098603,,None,278.35,0,2.78,33,Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,IC50,'=',239,nM,6.62,,,UO_0000065,23.79,0.45,3.84,8.44,0,CHEMBL3102465,Inhibition of human HDAC2 using RHKK(Ac) as substrate by fluorimetric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3098008,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,,239
